iter	RMSE
0	173.967484
1	166.8206597
2	160.4282242
3	153.9734355
4	148.64859
5	143.1211656
6	138.1776631
7	133.7817998
8	129.7364296
9	125.3091843
10	121.6070418
11	118.369093
12	115.309839
13	112.5547844
14	109.8373574
15	106.240408
16	103.7534109
17	101.5154677
18	98.65123512
19	96.9770771
20	95.21482493
21	93.49067671
22	92.10077097
23	90.10295756
24	88.03433707
25	85.73014651
26	84.46157855
27	82.60944063
28	81.02707659
29	79.9522994
30	78.42323329
31	76.88506715
32	75.49616269
33	74.76076809
34	73.59785506
35	72.91723655
36	72.30828071
37	71.68261467
38	70.52761567
39	69.93136299
40	69.41120582
41	68.96323085
42	68.00952308
43	67.5366118
44	66.99077718
45	66.615453
46	65.71723944
47	65.27417545
48	64.76171311
49	64.13207878
50	63.80371449
51	63.14377752
52	62.85585626
53	62.44910822
54	62.13239169
55	61.89547071
56	61.49695591
57	61.25424669
58	60.85086336
59	60.64005996
60	60.07034125
61	59.8176505
62	59.64704381
63	59.44723363
64	58.96385486
65	58.70539229
66	58.48074244
67	58.22051123
68	57.90383387
69	57.6895605
70	57.47528486
71	57.27761343
72	57.163546
73	56.93020588
74	56.76948379
75	56.63386299
76	56.46711806
77	56.26451232
78	55.89552915
79	55.70423937
80	55.5144856
81	55.39948311
82	55.29521649
83	55.2114905
84	55.10008304
85	54.89090006
86	54.66849945
87	54.57681726
88	54.47102628
89	54.3011129
90	54.16264109
91	54.02849527
92	53.94768945
93	53.85555442
94	53.77134287
95	53.68767574
96	53.53238377
97	53.4500276
98	53.39033417
99	53.25866791
100	53.11278188
101	53.00411583
102	52.68557091
103	52.55365144
104	52.46009618
105	52.32180921
106	52.22630441
107	52.14622485
108	52.04600337
109	51.97243679
110	51.88936077
111	51.81242549
112	51.57786284
113	51.4816301
114	51.41748777
115	51.18391216
116	51.08934503
117	50.81036928
118	50.7067329
119	50.62947372
120	50.52897427
121	50.31411807
122	50.25105357
123	50.19762019
124	50.04648552
125	49.97878059
126	49.86049033
127	49.79595255
128	49.70866636
129	49.55008363
130	49.48988283
131	49.39731686
132	49.34620183
133	49.26553898
134	49.06745429
135	48.92451594
136	48.79969117
137	48.69902387
138	48.60482762
139	48.56420798
140	48.45439256
141	48.34243678
142	48.16595979
143	48.13447436
144	48.06618949
145	47.97020117
146	47.89537358
147	47.80079051
148	47.74608224
149	47.682547
150	47.61598532
151	47.51340206
152	47.39600839
153	47.30695054
154	47.24442867
155	47.10058882
156	46.99457049
157	46.92627954
158	46.85083632
159	46.75122025
160	46.70557057
161	46.63808146
162	46.55212809
163	46.46266041
164	46.37087204
165	46.29315893
166	46.17329803
167	46.10716254
168	46.03642331
169	45.97874028
170	45.93514452
171	45.85462406
172	45.72667138
173	45.66257891
174	45.60039696
175	45.52476096
176	45.48065991
177	45.36523663
178	45.31050578
179	45.24242197
180	45.16751701
181	45.0914823
182	45.02805533
183	44.97920474
184	44.81562889
185	44.75240365
186	44.68819954
187	44.61143321
188	44.55646705
189	44.44630977
190	44.4100733
191	44.34442386
192	44.27401651
193	44.21037276
194	44.16944601
195	44.11326693
196	44.0310704
197	43.98797572
198	43.89207679
199	43.85149343
200	43.80093233
201	43.74272689
202	43.65679692
203	43.59893407
204	43.53544333
205	43.4589114
206	43.42305053
207	43.34860252
208	43.29379765
209	43.25356749
210	43.19861911
211	43.15416623
212	43.12510987
213	43.04277407
214	42.99097043
215	42.95182022
216	42.90406821
217	42.87427031
218	42.81456914
219	42.76040899
220	42.71519725
221	42.67204149
222	42.56340843
223	42.5165709
224	42.4722512
225	42.4245102
226	42.37038649
227	42.29458465
228	42.25460829
229	42.19413607
230	42.1487301
231	42.1091461
232	42.0618561
233	42.03041544
234	42.00218627
235	41.93961788
236	41.91577181
237	41.88221782
238	41.83429547
239	41.77978151
240	41.69687141
241	41.63468045
242	41.58517367
243	41.55945452
244	41.51707674
245	41.46231438
246	41.43070951
247	41.40229833
248	41.35997534
249	41.29469854
250	41.25908025
251	41.21955997
