iter	Passed	Remaining
0	2	2402
1	4	2213
2	6	2128
3	8	2190
4	11	2257
5	13	2159
6	14	2081
7	16	2033
8	18	2000
9	20	1987
10	21	1966
11	23	1949
12	25	1943
13	27	1935
14	29	1924
15	31	1921
16	33	1909
17	34	1897
18	36	1891
19	38	1888
20	40	1891
21	42	1890
22	44	1880
23	46	1878
24	48	1875
25	49	1872
26	51	1869
27	53	1865
28	55	1859
29	57	1854
30	59	1847
31	60	1843
32	62	1844
33	64	1842
34	66	1846
35	68	1845
36	70	1847
37	72	1845
38	74	1847
39	76	1844
40	78	1844
41	80	1846
42	82	1843
43	84	1840
44	86	1834
45	88	1831
46	90	1825
47	91	1822
48	93	1817
49	95	1814
50	97	1813
51	99	1811
52	101	1809
53	103	1805
54	104	1799
55	106	1797
56	108	1792
57	110	1788
58	112	1787
59	113	1784
60	116	1786
61	117	1782
62	119	1779
63	121	1779
64	123	1777
65	125	1775
66	127	1774
67	129	1776
68	131	1774
69	133	1772
70	135	1771
71	137	1766
72	138	1763
73	140	1760
74	142	1757
75	144	1753
76	146	1750
77	147	1746
78	149	1745
79	151	1742
80	153	1739
81	155	1738
82	157	1734
83	158	1732
84	160	1729
85	162	1726
86	164	1722
87	165	1719
88	167	1717
89	169	1716
90	171	1714
91	173	1711
92	175	1711
93	177	1708
94	178	1704
95	180	1703
96	182	1700
97	184	1696
98	186	1695
99	188	1694
100	190	1692
101	191	1688
102	193	1686
103	195	1683
104	197	1681
105	199	1679
106	200	1677
107	202	1672
108	204	1672
109	206	1671
110	208	1670
111	210	1668
112	212	1664
113	213	1661
114	215	1659
115	217	1659
116	219	1658
117	221	1655
118	223	1653
119	225	1651
120	227	1649
121	228	1646
122	230	1644
123	232	1642
124	234	1640
125	236	1639
126	238	1637
127	239	1634
128	241	1633
129	243	1632
130	245	1629
131	247	1627
132	249	1625
133	251	1623
134	252	1620
135	254	1617
136	256	1615
137	258	1612
138	259	1610
139	261	1608
140	263	1606
141	265	1604
142	267	1602
143	269	1600
144	271	1598
145	272	1596
146	274	1595
147	276	1593
148	278	1591
149	280	1591
150	282	1590
151	284	1588
152	286	1586
153	288	1583
154	290	1581
155	292	1579
156	293	1577
157	295	1575
158	297	1572
159	299	1569
160	300	1568
161	302	1565
162	304	1564
163	306	1561
164	308	1559
165	310	1557
166	311	1555
167	313	1553
168	315	1551
169	317	1549
170	318	1546
171	320	1544
172	322	1542
173	324	1540
174	326	1538
175	328	1536
176	329	1534
177	331	1531
178	333	1531
179	335	1529
180	337	1526
181	339	1524
182	341	1522
183	342	1520
184	344	1518
185	346	1516
186	348	1514
187	350	1512
188	352	1511
189	354	1509
190	355	1507
191	357	1505
192	359	1503
193	361	1501
194	363	1498
195	365	1497
196	366	1495
197	368	1493
198	370	1491
199	372	1490
200	374	1488
201	376	1487
202	378	1484
203	379	1482
204	381	1480
205	383	1477
206	385	1476
207	387	1473
208	388	1471
209	390	1469
210	392	1468
211	394	1466
212	396	1464
213	398	1462
214	400	1461
215	401	1459
216	403	1457
217	405	1455
218	407	1453
219	409	1451
220	411	1449
221	413	1448
222	415	1446
223	416	1443
224	418	1441
225	420	1440
226	422	1438
227	424	1436
228	426	1435
229	428	1433
230	429	1431
231	431	1429
232	433	1428
233	435	1426
234	437	1424
235	439	1421
236	440	1419
237	442	1417
238	444	1415
239	446	1413
240	448	1411
241	449	1409
242	451	1406
243	453	1404
244	455	1403
245	457	1401
246	459	1399
247	461	1398
248	462	1395
249	464	1394
250	466	1392
251	468	1390
252	470	1388
253	471	1386
254	473	1383
255	475	1381
256	477	1379
257	478	1377
258	480	1375
259	482	1373
260	484	1372
261	486	1370
262	488	1368
263	490	1366
264	491	1363
265	493	1362
266	495	1360
267	497	1358
268	499	1356
269	501	1355
270	503	1353
271	504	1351
272	506	1349
273	508	1347
274	510	1345
275	512	1344
276	514	1342
277	516	1340
278	518	1338
279	519	1336
280	521	1334
281	523	1332
282	525	1330
283	527	1329
284	529	1327
285	530	1325
286	532	1323
287	534	1321
288	536	1319
289	538	1317
290	539	1315
291	541	1313
292	543	1311
293	545	1309
294	547	1308
295	549	1306
296	551	1304
297	553	1303
298	555	1302
299	557	1300
300	559	1298
301	561	1296
302	562	1294
303	564	1293
304	566	1291
305	568	1290
306	570	1288
307	572	1286
308	575	1285
309	577	1284
310	579	1283
311	581	1282
312	583	1280
313	585	1279
314	587	1278
315	589	1276
316	591	1275
317	594	1274
318	596	1273
319	598	1271
320	600	1269
321	602	1268
322	604	1266
323	606	1264
324	608	1263
325	610	1261
326	611	1259
327	613	1256
328	615	1255
329	617	1254
330	619	1252
331	621	1250
332	623	1248
333	625	1247
334	627	1245
335	629	1243
336	631	1241
337	633	1240
338	635	1238
339	637	1236
340	639	1235
341	641	1233
342	643	1232
343	645	1230
344	647	1228
345	649	1226
346	651	1225
347	653	1223
348	654	1221
349	656	1219
350	658	1217
351	660	1215
352	662	1213
353	664	1211
354	666	1210
355	668	1208
356	669	1206
357	671	1204
358	673	1203
359	675	1201
360	677	1199
361	679	1197
362	681	1196
363	683	1194
364	685	1193
365	687	1191
366	690	1190
367	692	1188
368	694	1187
369	696	1185
370	698	1184
371	700	1183
372	702	1181
373	705	1180
374	707	1178
375	709	1177
376	711	1175
377	713	1173
378	715	1171
379	717	1171
380	720	1169
381	722	1168
382	724	1167
383	726	1165
384	729	1164
385	731	1163
386	733	1161
387	735	1160
388	737	1158
389	739	1156
390	741	1155
391	743	1153
392	745	1151
393	747	1150
394	750	1148
395	752	1147
396	754	1146
397	756	1145
398	759	1143
399	761	1142
400	764	1141
401	765	1139
402	768	1137
403	770	1136
404	771	1134
405	774	1132
406	776	1130
407	778	1129
408	780	1127
409	782	1126
410	785	1125
411	789	1126
412	791	1124
413	793	1123
414	796	1122
415	799	1121
416	802	1121
417	804	1120
418	807	1120
419	811	1120
420	813	1118
421	815	1116
422	816	1114
423	818	1112
424	821	1111
425	823	1109
426	825	1108
427	828	1107
428	830	1105
429	832	1103
430	834	1102
431	836	1100
432	838	1098
433	840	1096
434	843	1094
435	845	1093
436	847	1091
437	849	1089
438	851	1087
439	852	1085
440	854	1083
441	857	1082
442	859	1080
443	861	1078
444	863	1077
445	865	1075
446	867	1073
447	869	1071
448	871	1070
449	873	1068
450	875	1066
451	877	1064
452	879	1062
453	881	1059
454	883	1057
455	884	1055
456	886	1053
457	888	1051
458	891	1050
459	892	1048
460	894	1046
461	896	1043
462	898	1041
463	900	1039
464	902	1037
465	903	1035
466	905	1033
467	907	1031
468	909	1029
469	911	1027
470	913	1025
471	914	1023
472	916	1021
473	918	1019
474	920	1017
475	922	1015
476	924	1013
477	926	1011
478	928	1009
479	930	1007
480	932	1005
481	933	1003
482	935	1001
483	937	999
484	939	997
485	941	995
486	943	994
487	945	992
488	947	990
489	949	988
490	951	986
491	953	984
492	955	983
493	957	981
494	959	979
495	961	977
496	963	975
497	965	973
498	967	971
499	969	969
500	971	967
501	973	965
502	975	963
503	977	962
504	979	960
505	981	958
506	983	956
507	985	954
508	987	952
509	989	950
510	991	948
511	993	946
512	995	944
513	997	942
514	999	941
515	1001	939
516	1003	937
517	1005	935
518	1007	933
519	1009	931
520	1011	930
521	1013	927
522	1015	925
523	1017	923
524	1019	922
525	1021	920
526	1022	918
527	1024	915
528	1026	914
529	1028	912
530	1030	910
531	1032	908
532	1034	906
533	1036	904
534	1038	902
535	1040	900
536	1042	898
537	1044	896
538	1046	894
539	1048	892
540	1049	890
541	1052	888
542	1054	887
543	1056	885
544	1057	883
545	1059	880
546	1061	878
547	1063	876
548	1065	875
549	1067	873
550	1069	871
551	1071	869
552	1072	867
553	1074	865
554	1076	863
555	1078	861
556	1080	859
557	1081	857
558	1083	854
559	1085	853
560	1087	851
561	1089	849
562	1091	847
563	1093	845
564	1095	843
565	1097	841
566	1099	839
567	1101	837
568	1103	835
569	1105	833
570	1107	831
571	1109	829
572	1111	828
573	1113	826
574	1115	824
575	1117	822
576	1119	820
577	1121	818
578	1123	816
579	1125	814
580	1127	812
581	1129	810
582	1131	809
583	1133	807
584	1135	805
585	1158	818
586	1190	837
587	1192	835
588	1193	833
589	1195	831
590	1197	828
591	1199	826
592	1201	824
593	1203	822
594	1205	820
595	1207	818
596	1209	816
597	1211	814
598	1213	812
599	1215	810
600	1216	807
601	1218	805
602	1220	803
603	1222	801
604	1224	799
605	1226	797
606	1227	795
607	1229	792
608	1231	790
609	1233	788
610	1235	786
611	1237	784
612	1239	782
613	1241	780
614	1243	778
615	1245	776
616	1247	774
617	1249	772
618	1251	770
619	1253	768
620	1255	766
621	1257	764
622	1259	762
623	1261	759
624	1262	757
625	1264	755
626	1266	753
627	1268	751
628	1270	749
629	1271	746
630	1273	744
631	1275	742
632	1277	740
633	1279	738
634	1281	736
635	1283	734
636	1285	732
637	1286	730
638	1288	728
639	1290	725
640	1292	723
641	1294	721
642	1296	719
643	1297	717
644	1299	715
645	1301	713
646	1303	711
647	1305	709
648	1307	707
649	1309	705
650	1311	702
651	1312	700
652	1314	698
653	1316	696
654	1318	694
655	1320	692
656	1322	690
657	1325	688
658	1326	686
659	1328	684
660	1330	682
661	1332	680
662	1334	678
663	1336	676
664	1338	674
665	1340	672
666	1342	670
667	1344	668
668	1346	666
669	1348	663
670	1350	661
671	1352	659
672	1353	657
673	1355	655
674	1358	653
675	1359	651
676	1361	649
677	1363	647
678	1365	645
679	1367	643
680	1369	641
681	1371	639
682	1373	637
683	1375	635
684	1377	633
685	1378	631
686	1380	629
687	1382	627
688	1384	624
689	1386	622
690	1388	620
691	1389	618
692	1391	616
693	1393	614
694	1395	612
695	1397	610
696	1399	608
697	1400	606
698	1402	604
699	1404	601
700	1406	599
701	1408	597
702	1410	595
703	1412	593
704	1414	591
705	1416	589
706	1418	587
707	1420	585
708	1422	583
709	1424	581
710	1426	579
711	1427	577
712	1429	575
713	1432	573
714	1433	571
715	1435	569
716	1437	567
717	1439	565
718	1441	563
719	1443	561
720	1445	559
721	1447	557
722	1448	555
723	1450	552
724	1452	550
725	1454	548
726	1456	546
727	1458	544
728	1460	542
729	1462	540
730	1464	538
731	1465	536
732	1467	534
733	1469	532
734	1471	530
735	1473	528
736	1475	526
737	1477	524
738	1479	522
739	1481	520
740	1483	518
741	1485	516
742	1487	514
743	1488	512
744	1490	510
745	1492	508
746	1494	506
747	1496	504
748	1498	502
749	1500	500
750	1502	498
751	1504	496
752	1506	494
753	1508	492
754	1509	489
755	1512	488
756	1513	485
757	1515	483
758	1517	481
759	1519	479
760	1521	477
761	1523	475
762	1525	473
763	1527	471
764	1528	469
765	1530	467
766	1532	465
767	1534	463
768	1536	461
769	1538	459
770	1539	457
771	1541	455
772	1543	453
773	1545	451
774	1546	449
775	1548	447
776	1550	445
777	1552	443
778	1554	441
779	1556	439
780	1558	437
781	1560	434
782	1562	432
783	1564	430
784	1565	428
785	1567	426
786	1569	424
787	1571	422
788	1573	420
789	1574	418
790	1576	416
791	1578	414
792	1580	412
793	1582	410
794	1584	408
795	1585	406
796	1587	404
797	1589	402
798	1591	400
799	1593	398
800	1594	396
801	1596	394
802	1598	392
803	1600	390
804	1602	388
805	1603	386
806	1605	384
807	1607	382
808	1609	379
809	1611	377
810	1613	375
811	1614	373
812	1616	371
813	1618	369
814	1620	367
815	1622	365
816	1623	363
817	1625	361
818	1627	359
819	1629	357
820	1631	355
821	1633	353
822	1634	351
823	1636	349
824	1638	347
825	1640	345
826	1642	343
827	1644	341
828	1646	339
829	1648	337
830	1650	335
831	1651	333
832	1653	331
833	1655	329
834	1657	327
835	1659	325
836	1660	323
837	1662	321
838	1664	319
839	1666	317
840	1668	315
841	1669	313
842	1671	311
843	1673	309
844	1675	307
845	1677	305
846	1679	303
847	1680	301
848	1682	299
849	1684	297
850	1686	295
851	1688	293
852	1690	291
853	1692	289
854	1693	287
855	1695	285
856	1697	283
857	1699	281
858	1701	279
859	1703	277
860	1705	275
861	1706	273
862	1708	271
863	1710	269
864	1712	267
865	1714	265
866	1716	263
867	1717	261
868	1719	259
869	1721	257
870	1723	255
871	1725	253
872	1727	251
873	1729	249
874	1731	247
875	1732	245
876	1734	243
877	1736	241
878	1738	239
879	1740	237
880	1741	235
881	1743	233
882	1745	231
883	1747	229
884	1749	227
885	1751	225
886	1753	223
887	1755	221
888	1757	219
889	1758	217
890	1760	215
891	1762	213
892	1764	211
893	1766	209
894	1768	207
895	1770	205
896	1771	203
897	1773	201
898	1775	199
899	1777	197
900	1779	195
901	1780	193
902	1782	191
903	1784	189
904	1786	187
905	1788	185
906	1790	183
907	1792	181
908	1794	179
909	1796	177
910	1797	175
911	1799	173
912	1801	171
913	1803	169
914	1804	167
915	1806	165
916	1808	163
917	1810	161
918	1812	159
919	1814	157
920	1816	155
921	1818	153
922	1819	151
923	1821	149
924	1823	147
925	1825	145
926	1827	143
927	1828	141
928	1830	139
929	1832	137
930	1834	135
931	1835	133
932	1837	131
933	1839	129
934	1840	127
935	1842	126
936	1844	124
937	1846	122
938	1848	120
939	1850	118
940	1851	116
941	1853	114
942	1855	112
943	1857	110
944	1859	108
945	1861	106
946	1863	104
947	1864	102
948	1866	100
949	1868	98
950	1869	96
951	1871	94
952	1873	92
953	1875	90
954	1877	88
955	1879	86
956	1881	84
957	1883	82
958	1885	80
959	1887	78
960	1889	76
961	1891	74
962	1893	72
963	1894	70
964	1896	68
965	1898	66
966	1900	64
967	1902	62
968	1904	60
969	1906	58
970	1907	56
971	1909	55
972	1911	53
973	1913	51
974	1914	49
975	1916	47
976	1918	45
977	1920	43
978	1921	41
979	1923	39
980	1925	37
981	1926	35
982	1928	33
983	1930	31
984	1932	29
985	1934	27
986	1936	25
987	1937	23
988	1939	21
989	1940	19
990	1942	17
991	1944	15
992	1946	13
993	1948	11
994	1949	9
995	1951	7
996	1953	5
997	1955	3
998	1957	1
999	1959	0
